OBJECT ID,Date,Name,Area (Acres),Dredged Material (Cubic Yards),Area (Square Yards),Avg Vertical Displacement (Yards)
1,9/30/2018,LL1A,346.9,2511990,1679000,1.49612
2,10/30/2018, LL1B,112.9,1079980,546436,1.97641
3,9/30/2018,LL2AD,78.4,601967,379456,1.58639
4,9/30/2018,LL2BWest,54.4,391322,263296,1.48624
5,1/30/2018,LL3,51.5,242100,249260,0.971275
6,9/30/2017,OBMCA1,207,1232360,1001880,1.23005
7,8/30/2017, OBMCA2,68.4,364601,331056,1.10133
8,7/30/2017,OBMCA3,258.5,1142990,1251140,0.913559
9,7/30/2017,OBMCA4,71.6,236229,346544,0.681671
10,9/30/2017, OBMCA5,147.3,1071340,712932,1.50272
11,9/30/2017,OBMCA5A,83.3,560129,403172,1.38931
12,9/30/2019,Unit1D,229,729441,1108360,0.658126
13,8/30/2019,Unit1E,300,1043650,1452000,0.718767
14,12/30/2017,BBMCA1,331,1842230,1602040,1.14993
15,11/30/2017,BBMCA2,152,878370,735680,1.19396
16,8/30/2017,BBMCA3,29,155015,140360,1.10441
17,11/30/2017,BBMCA4,92,454651,445280,1.02105
